policy,T,phi_scan_index,phi,phi_over_pi,w_loc3_ABB,w_loc5_ABB,primary_mask_from_scan,sensitivity_mask_from_scan
fixed,6000,19,1.6766069126970529,0.5336805555555556,0.2516931739696643,0.2803897106211565,0,0
fixed,6000,20,1.679879405044542,0.5347222222222222,0.24575978020346873,0.2747514488606473,0,0
fixed,6000,21,1.6831518973920314,0.5357638888888888,0.23955825651442972,0.2688095959751365,0,0
fixed,6000,22,1.6864243897395208,0.5368055555555555,0.2330567326094461,0.2625198110273963,0,0
fixed,6000,23,1.6896968820870102,0.5378472222222223,0.22625175441591738,0.2558737029895925,0,0
fixed,6000,24,1.6929693744344996,0.5388888888888889,0.21910854028698445,0.24882803030638642,0,0
fixed,6000,25,1.696241866781989,0.5399305555555556,0.21159528573039535,0.241335416504601,0,0
fixed,6000,26,1.6995143591294783,0.5409722222222222,0.20373744189360518,0.23339351675315087,0,0
fixed,6000,27,1.7027868514769677,0.5420138888888889,0.19545570519196587,0.22490302062220005,0,0
fixed,6000,28,1.7060593438244571,0.5430555555555555,0.18679185100289927,0.21589429727071638,0,0
fixed,6000,29,1.7093318361719465,0.5440972222222222,0.17764396298347743,0.20622018372117454,0,0
fixed,6000,30,1.712604328519436,0.545138888888889,0.168124905979686,0.1959624146994091,0,0
fixed,6000,31,1.7158768208669253,0.5461805555555556,0.15806698450717255,0.1849100735250652,0,0
fixed,6000,32,1.7191493132144147,0.5472222222222223,0.1476962527252339,0.17327198384519354,0,0
fixed,6000,33,1.722421805561904,0.5482638888888889,0.13678986445774396,0.16072203699677623,0,0
fixed,6000,34,1.7256942979093934,0.5493055555555556,0.12571442030877392,0.14767598175856947,0,1
fixed,6000,35,1.7289667902568826,0.5503472222222222,0.1146155982867236,0.13423179157203563,0,1
fixed,6000,36,1.732239282604372,0.5513888888888889,0.10316435498798411,0.11992311611787775,0,1
fixed,6000,37,1.7355117749518614,0.5524305555555555,0.09294019072745571,0.10674936241582182,1,1
fixed,6000,38,1.7387842672993508,0.5534722222222223,0.08595224202746156,0.09748093955595193,1,1
fixed,6000,39,1.7420567596468401,0.5545138888888889,0.0824854440939761,0.09269586558801203,1,1
fixed,6000,40,1.7453292519943295,0.5555555555555556,0.08152819369891794,0.09120229511587366,1,1
fixed,6000,41,1.748601744341819,0.5565972222222222,0.08201725309561615,0.0916429941186812,1,1
fixed,6000,42,1.7518742366893083,0.5576388888888889,0.08330247570909324,0.09315261364058522,1,1
fixed,6000,43,1.7551467290367977,0.5586805555555556,0.08505907346624678,0.09529071688258099,1,1
fixed,6000,44,1.758419221384287,0.5597222222222222,0.0871348965496731,0.09784859943934585,1,1
fixed,6000,45,1.7616917137317765,0.560763888888889,0.08946084968077071,0.10072516142874284,1,1
fixed,6000,46,1.7649642060792659,0.5618055555555556,0.09199894168794123,0.10386417724531136,1,1
fixed,6000,47,1.768236698426755,0.5628472222222222,0.09472603078251766,0.10723419387467165,1,1
fixed,6000,48,1.7715091907742444,0.5638888888888889,0.09764023122575596,0.11082642695361464,1,1
fixed,6000,49,1.7747816831217338,0.5649305555555555,0.10074789235707439,0.11464457605819905,0,1
fixed,6000,50,1.7780541754692232,0.5659722222222222,0.10405722168951706,0.1186995726149356,0,1
fixed,6000,51,1.7813266678167126,0.5670138888888889,0.10758554024748845,0.12300515659286056,0,1
fixed,6000,52,1.784599160164202,0.5680555555555555,0.1113357732105171,0.12756065985665224,0,1
fixed,6000,53,1.7878716525116913,0.5690972222222223,0.11530121920365498,0.13235692533795193,0,1
fixed,6000,54,1.7911441448591807,0.5701388888888889,0.11948579943115381,0.13738900922703076,0,1
fixed,6000,55,1.79441663720667,0.5711805555555556,0.12388951478666954,0.14265852734537343,0,1
fixed,6000,56,1.7976891295541595,0.5722222222222223,0.1285338094647773,0.14818605698749676,0,1
fixed,6000,57,1.8009616219016489,0.5732638888888889,0.13343579878667547,0.1539845311632906,0,0
fixed,6000,58,1.8042341142491383,0.5743055555555556,0.13858889306403238,0.16004663538638728,0,0
fixed,6000,59,1.8075066065966277,0.5753472222222222,0.14398998242736602,0.1663563481124183,0,0
fixed,6000,60,1.810779098944117,0.576388888888889,0.14962539756461135,0.17290345140316266,0,0
fixed,6000,61,1.8140515912916064,0.5774305555555557,0.15552177834537823,0.17970705069369605,0,0
fixed,6000,62,1.8173240836390956,0.5784722222222222,0.1616785725201842,0.18676705592503515,0,0
fixed,6000,63,1.820596575986585,0.5795138888888889,0.16808635691083837,0.19406238534012954,0,0
fixed,6000,64,1.8238690683340744,0.5805555555555556,0.17471600107155688,0.20156328219427,0,0
fixed,6000,65,1.8271415606815637,0.5815972222222222,0.18158401003889588,0.2092814282838932,0,0
fixed,6000,66,1.8304140530290531,0.5826388888888889,0.188688089562129,0.21721164886359381,0,0
fixed,6000,67,1.8336865453765425,0.5836805555555555,0.19600382009632972,0.22531841327121716,0,0
fixed,6000,68,1.836959037724032,0.5847222222222223,0.20349544755544116,0.2335726714350347,0,0
fixed,6000,69,1.8402315300715213,0.585763888888889,0.21119306203753124,0.24199122949875418,0,0
