phi_index,phi,phi_over_pi,policy,T,T0,T1,v_fit_A,v_fit_B,v_fit_ABB,deltaP_late_mean_ABB,w_loc3_ABB,w_loc5_ABB,P0bar_ABB,stable_A,stable_B,stable_ABB,strict_raw,drift_raw,strict_stage3,drift_stage3,pp_primary,pp_sensitivity,mismatch_sign,mismatch_eligible,adv_v
7,0.6108652381980153,0.19444444444444445,fixed,6000,200,250,-0.04921151052390125,-0.11246719191544653,0.06637268956747978,0.24014498111189972,0.613533415859518,0.6205862106296729,0.2056136107698075,1,1,1,1,1,1,1,0,0,0,1,0.11558420009138104
7,0.6108652381980153,0.19444444444444445,scaled,3000,2000,2500,-0.04921150821162462,-0.11246716341990022,0.06637547216741439,0.24040985622366873,0.6135298756007204,0.620584052759365,0.20578300006559852,1,1,1,1,1,1,1,0,0,0,1,0.11558698037903901
7,0.6108652381980153,0.19444444444444445,scaled,6000,4000,5000,-0.04921150909388774,-0.11246715428590427,0.0663729764071574,0.24001094372187295,0.6135353671793946,0.6205839113430052,0.20570269115212383,1,1,1,1,1,1,1,0,0,0,1,0.11558448550104514
8,0.6981317007977318,0.2222222222222222,fixed,3000,200,250,-0.05001554108381979,-0.09723005770541533,0.07897304610978759,0.27574791998434195,0.6100663641144859,0.6165359701724934,0.2038360595649788,1,1,1,1,1,1,1,0,0,0,1,0.12898858719360737
8,0.6981317007977318,0.2222222222222222,fixed,6000,200,250,-0.050015527464823,-0.09722991482811683,0.07897320194703185,0.275706116127929,0.6100696298331058,0.6165347774561944,0.20379952928068798,1,1,1,1,1,1,1,0,0,0,1,0.12898872941185485
8,0.6981317007977318,0.2222222222222222,scaled,3000,2000,2500,-0.05001552442675648,-0.09722991481661943,0.07897476657692899,0.2757091471523429,0.6100607254559866,0.6165315565583886,0.20396878677146274,1,1,1,1,1,1,1,0,0,0,1,0.12899029100368548
8,0.6981317007977318,0.2222222222222222,scaled,6000,4000,5000,-0.05001552192362982,-0.09722984108189962,0.07897330471384825,0.2757269957224403,0.6100718771741626,0.6165335059444708,0.20388825131450045,1,1,1,1,1,1,1,0,0,0,1,0.12898882663747807
9,0.7853981633974483,0.25,fixed,3000,200,250,-0.050864841623991026,-0.0801190588471762,0.09084561576370355,0.30990806922076497,0.6017622954931595,0.6079654275442549,0.19925190942399054,1,1,1,1,1,1,1,0,0,0,1,0.14171045738769458
9,0.7853981633974483,0.25,fixed,6000,200,250,-0.05086483325077909,-0.08011936212414417,0.0908455026216388,0.30985871954797206,0.6017624795964276,0.6079636963083412,0.1992160542741541,1,1,1,1,1,1,1,0,0,0,1,0.14171033587241788
9,0.7853981633974483,0.25,scaled,3000,2000,2500,-0.05086483067774384,-0.08011936135972463,0.0908469919335144,0.3100213767109429,0.6017554431457381,0.6079612610468023,0.1993783657770025,1,1,1,1,1,1,1,0,0,0,1,0.14171182261125825
9,0.7853981633974483,0.25,scaled,6000,4000,5000,-0.05086482941093401,-0.08011960198786572,0.09084562088429139,0.3097881018123541,0.6017634135074754,0.6079619893688655,0.19930747207518126,1,1,1,1,1,1,1,0,0,0,1,0.1417104502952254
10,0.8726646259971648,0.2777777777777778,fixed,3000,200,250,-0.051744457414853604,-0.06197189524007218,0.1017512510773552,0.34235604686814813,0.5893535393498047,0.5955177241976417,0.19247241541262627,1,1,1,1,1,1,1,0,0,0,1,0.1534957084922088
10,0.8726646259971648,0.2777777777777778,fixed,6000,200,250,-0.05174445089659842,-0.061972266776078366,0.10175156951875136,0.3423714753660939,0.5893533387496959,0.5955160552667457,0.19243502930910483,1,1,1,1,1,1,1,0,0,0,1,0.15349602041534977
10,0.8726646259971648,0.2777777777777778,scaled,3000,2000,2500,-0.051744448625402666,-0.061968882938093196,0.10175136723340256,0.34227252974865535,0.5893479851134281,0.5955136360822264,0.1926049757347379,1,1,1,1,1,1,1,0,0,0,1,0.15349581585880523
10,0.8726646259971648,0.2777777777777778,scaled,6000,4000,5000,-0.05174444753432546,-0.06197472204305612,0.10175214545878933,0.34230524957588915,0.589353139672466,0.5955142474700185,0.1925247441480878,1,1,1,1,1,1,1,0,0,0,1,0.1534965929931148
11,0.9599310885968813,0.3055555555555556,fixed,3000,200,250,-0.052641367710175545,-0.04773466344751756,0.11154356621920736,0.3727380545290663,0.5733153716524112,0.5796209365897839,0.18399638688353026,1,1,1,1,1,1,1,0,0,0,1,0.15927822966672492
11,0.9599310885968813,0.3055555555555556,fixed,6000,200,250,-0.05264135675326102,-0.04773630986103785,0.11154394448070569,0.37278025486670063,0.5733147530896847,0.5796190222921888,0.18395913498588923,1,1,1,1,1,1,1,0,0,0,1,0.15928025434174353
