label,sequence,phi,phi_over_pi,policy,metric_name,n_points,T_min,T_max,limit_estimate_deg1,rmse_deg1,limit_estimate_deg2,rmse_deg2
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,scaled,v_fit,6,3000,12000,-0.05231722305447497,4.0538182484693727e-10,-0.052317225215245164,1.62396852725445e-10
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,scaled,deltaP_late_mean,6,3000,12000,-0.06452564398879466,4.3838467352514455e-09,-0.06452562606330438,3.118231068456007e-09
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,scaled,w_loc3,6,3000,12000,0.49401265250362697,1.9198112154916124e-06,0.49401085248625215,1.8947123313200666e-06
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,scaled,w_loc5,6,3000,12000,0.5245162398618419,4.1204113096682596e-07,0.5245158912559457,4.076603143454445e-07
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,scaled,P0bar,6,3000,12000,0.1428938976677864,1.9280569228375964e-05,0.14291273236314686,1.9006788341351248e-05
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,fixed,v_fit,6,3000,12000,-0.0523304438419761,1.3532080807288183e-07,-0.05233067321343437,1.2944927986531228e-07
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,fixed,deltaP_late_mean,6,3000,12000,-0.1687516161680212,9.441577534551461e-05,-0.168748962321637,9.441467324589013e-05
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,fixed,w_loc3,6,3000,12000,0.5818226845711887,3.087738200200366e-07,0.5818215598732365,2.4075615080091476e-07
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,fixed,w_loc5,6,3000,12000,0.6071479251179059,2.659834685961928e-07,0.6071470132680087,2.1489107618986156e-07
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,fixed,P0bar,6,3000,12000,0.2162407691085259,2.419621149722216e-07,0.21624212071687635,6.756034869110322e-08
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,scaled,v_fit,6,3000,12000,-0.05232948837231912,2.0977340744350492e-06,-0.05232072912505605,1.4606047519175468e-06
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,scaled,deltaP_late_mean,6,3000,12000,-0.16858683669190766,0.0004160114150951478,-0.17035666100640762,0.0002837430609161558
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,scaled,w_loc3,6,3000,12000,0.5818253177705206,2.610866976935887e-06,0.5818136144250492,1.664140587543374e-06
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,scaled,w_loc5,6,3000,12000,0.6071494718626903,2.361708372130118e-06,0.607140023934739,1.714652396367771e-06
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,scaled,P0bar,6,3000,12000,0.2162137676977404,2.9524343319242248e-05,0.21623919156190968,2.9199096579749887e-05
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,fixed,v_fit,6,3000,12000,0.1081545758266903,7.697846955454357e-08,0.1081542065444429,4.354445584887783e-08
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,fixed,deltaP_late_mean,6,3000,12000,0.3620456243899344,2.000690377560176e-05,0.3619626557102287,1.4030945315401339e-05
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,fixed,w_loc3,6,3000,12000,0.5794848214804068,4.0677592983275033e-07,0.5794869206357567,1.8777862537015302e-07
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,fixed,w_loc5,6,3000,12000,0.5857161083081905,5.078144197322549e-08,0.5857162392515034,4.5520379471027615e-08
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,fixed,P0bar,6,3000,12000,0.18713994879118392,5.484547101905332e-06,0.18715842411312741,4.471477227717112e-06
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,scaled,v_fit,6,3000,12000,0.10815493968598221,5.072581052264304e-07,0.10815268674750396,3.2761027711610403e-07
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,scaled,deltaP_late_mean,6,3000,12000,0.36204029550682476,7.10683537551757e-05,0.36189683583267523,6.665264063433894e-05
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,scaled,w_loc3,6,3000,12000,0.5794824457758377,2.6948052731238082e-06,0.5794944245938658,1.7383734579717991e-06
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,scaled,w_loc5,6,3000,12000,0.5857158323951902,2.0193474726402898e-07,0.5857168297258054,1.0670654259532927e-07
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,scaled,P0bar,6,3000,12000,0.1871232475480625,3.118639050459606e-05,0.1871703983614551,3.0114744917995364e-05
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,fixed,v_fit,6,3000,12000,-0.05983839469641534,1.254643221848582e-09,-0.059838401963266126,1.1720622158163064e-10
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,fixed,deltaP_late_mean,6,3000,12000,-0.07436686691128475,2.57988952517056e-09,-0.07436685325124073,1.0686906157917377e-09
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,fixed,w_loc3,6,3000,12000,0.6272430102398122,1.3135151512716157e-08,0.6272429339550178,7.590946072893602e-10
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,fixed,w_loc5,6,3000,12000,0.6436211211322722,2.0089192771216433e-09,0.6436211096314629,3.568814566482995e-10
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,fixed,P0bar,6,3000,12000,0.20997499982951573,2.7636178214288686e-07,0.20997660741913557,3.361619136487825e-09
