label,sequence,phi,phi_over_pi,policy,T,T0,T1,v_fit,v_fit2,v_T,delta_v,deltaP_late_mean,deltaP_final,w_loc3,w_loc5,P0bar,x_mean_final,stable
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,scaled,8000,5333,6666,-0.05983840650584615,-0.05983840615999061,-0.0598376653501808,1.4810713474394666e-07,-0.07436685589633436,-0.0743665753062045,0.6272429395772955,0.6436211116998213,0.20997654925422993,-478.7013228014464,1
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,scaled,10000,6666,8333,-0.05983840604338141,-0.05983840590842072,-0.059837813199771654,1.185856068133817e-07,-0.0743668574719359,-0.07436577168775277,0.6272402446158787,0.6436207820591519,0.21003951103588783,-598.3781319977165,1
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,scaled,12000,8000,10000,-0.059838405792613465,-0.05983840568161309,-0.059837911988061494,9.878828984011268e-08,-0.07436685811207541,-0.0743659446157946,0.6272406933039995,0.6436208369679616,0.2100290305766965,-718.054943856738,1
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,fixed,300,200,250,-0.012260845000179162,-0.016328189150005043,-0.01127191732878059,0.0035161969697065695,-0.0448333029006369,-0.006658994407726562,0.9182653103242027,0.9186022018248615,0.42638480201975865,-3.3815751986341773,1
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,fixed,600,200,250,-0.01135443748679101,-0.011375876281208827,-0.011530519584258776,0.0035543673417074775,-0.0313949304670458,-0.06602860315427181,0.9182660252914637,0.918599105155464,0.4232558277121362,-6.918311750555266,1
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,fixed,900,200,250,-0.011408224317751235,-0.011420391085047974,-0.011336967263925066,0.0034511470345620944,-0.03599480085948767,-0.00011448719680888508,0.9182660757371559,0.9185983156919086,0.42280504415032594,-10.203270537532559,1
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,fixed,1200,200,250,-0.011386070599298947,-0.011389943646175835,-0.011471421857501345,0.0034952696149500462,-0.03342121644402103,-0.07221630387717831,0.918266100404064,0.9185979653157776,0.4226244947171446,-13.765706229001614,1
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,fixed,1500,200,250,-0.01139606360607117,-0.011399010594780719,-0.011350817950811982,0.003437296347675178,-0.0352977400730226,0.005857901064540316,0.9182661108034594,0.9185977684309306,0.42252720213912165,-17.026226926217973,1
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,fixed,2000,200,250,-0.01139118536050929,-0.01139248077365897,-0.011338914402410177,0.0034491998960769835,-0.03435006486317344,0.02784657444155461,0.9182661170814298,0.9185975811585999,0.4224370758247373,-22.677828804820354,1
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,fixed,3000,200,250,-0.011391183768469683,-0.011391703316515159,-0.011433848162704627,0.0034576959201533287,-0.034319092648960346,-0.08759133795332283,0.9182661313520526,0.9185974054781385,0.4223533719133981,-34.30154448811388,1
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,fixed,4000,200,250,-0.011392289718581148,-0.011392595808055213,-0.011393249830677257,0.0034170975881259585,-0.03494211184803188,-0.02781390117628925,0.9182661362569962,0.9185973211225436,0.4223137066818254,-45.57299932270903,1
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,fixed,6000,200,250,-0.011391665180489497,-0.011391788533645838,-0.011416590085431468,0.0034404378428801695,-0.03460569125811201,-0.0990771105675213,0.9182661409204883,0.9185972392677503,0.422275402907887,-68.49954051258881,1
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,fixed,8000,200,250,-0.011391510695526002,-0.011391576727796445,-0.011391215996866266,0.0034150637543149676,-0.034447233521634986,-0.02293386212024194,0.9182661436112821,0.9185971993526924,0.4222567405056291,-91.12972797493013,1
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,fixed,10000,200,250,-0.011391669455688432,-0.01139171255835612,-0.011381372609741673,0.0034067416887454873,-0.03466010908629591,0.02644394601694082,0.9182661449453448,0.9185971756631909,0.42224569403688667,-113.81372609741673,1
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,fixed,12000,200,250,-0.011391697904671831,-0.011391727880759303,-0.011398218430867304,0.003422066188316005,-0.03472400762465049,-0.06389468823626188,0.9182661459777954,0.9185971600203218,0.4222383921800391,-136.77862117040763,1
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,scaled,300,200,250,-0.012260845000179162,-0.016328189150005043,-0.01127191732878059,0.0035161969697065695,-0.0448333029006369,-0.006658994407726562,0.9182653103242027,0.9186022018248615,0.42638480201975865,-3.3815751986341773,1
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,scaled,600,400,500,-0.01138321535087674,-0.01059440476042737,-0.011530519584258776,0.0018594215220079854,-0.023472175234221904,-0.06602860315427181,0.9182652470880474,0.9185977465003211,0.42430385120849634,-6.918311750555266,1
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,scaled,900,600,750,-0.011382769322660647,-0.011525744250084784,-0.011336967263925066,0.0012733674143840402,-0.04222264746966698,-0.00011448719680888508,0.9182652253156374,0.9185972517886026,0.42360514930283233,-10.203270537532559,1
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,scaled,1200,800,1000,-0.0113521408574907,-0.011410994797693095,-0.011471421857501345,0.0009402806262490786,-0.0319809439699346,-0.07221630387717831,0.9182655271476071,0.9185971623888127,0.42325560544762,-13.765706229001614,1
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,scaled,1500,1000,1250,-0.011446564600438181,-0.011355727794750513,-0.011350817950811982,0.000766454429566599,-0.03431431486000053,0.005857901064540316,0.9182656345996694,0.9185971218579424,0.4230453789444575,-17.026226926217973,1
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,scaled,2000,1333,1666,-0.011378921569048784,-0.01138567479787664,-0.011338914402410177,0.0005881164496074308,-0.03479187088121464,0.02784657444155461,0.9182661375765273,0.9185970974209733,0.4222025735462512,-22.677828804820354,1
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,scaled,3000,2000,2500,-0.011385416511273873,-0.011340569088438248,-0.011433848162704627,0.00039077513622503765,-0.03420126385286812,-0.08759133795332283,0.9182658835118077,0.9185970867051845,0.4226244064238295,-34.30154448811388,1
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,scaled,4000,2666,3333,-0.0113991616943964,-0.011429345597903866,-0.011393249830677257,0.0002690846726049207,-0.03506888404618489,-0.02781390117628925,0.9182659436734035,0.9185970831742348,0.42251886196378485,-45.57299932270903,1
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,scaled,6000,4000,5000,-0.011393793537549338,-0.01138579520753385,-0.011416590085431468,0.00020087380622753857,-0.033963249252931,-0.0990771105675213,0.9182660121139771,0.9185970823736773,0.4224136019875251,-68.49954051258881,1
