phi_index,phi,phi_over_pi,v_fit_A,v_fit2_A,v_T_A,delta_v_A,stable_A,v_fit_B,v_fit2_B,v_T_B,delta_v_B,stable_B,v_fit_ABB,v_fit2_ABB,v_T_ABB,delta_v_ABB,stable_ABB,adv_v,deltaP_late_mean_ABB,deltaP_final_ABB,w_loc3_ABB,w_loc5_ABB,P0bar_ABB,strict,win_ABB,pp_primary,pp_sensitivity,mismatch_sign
40,3.490658503988659,1.1111111111111112,-0.05450652809822025,-0.054253558850507436,-0.05485243057281446,0.0006210452158821114,1,-0.0049308089582119395,-0.0013433746280784478,-0.006408153887451284,0.0037379795956962425,0,0.01199923204780513,0.012459618420755658,0.010095365645650958,0.0006448913306017941,1,0.01693004100601707,0.03983638882236888,0.05718607511823187,0.20297784730969867,0.22327317917553996,0.035170809393391934,0,1,0,0,0
41,3.5779249665883754,1.1388888888888888,-0.05522440812872718,-0.055110224255858604,-0.05506148675359394,0.0006049358910464459,1,-0.00498789971582008,-0.00116277621170212,-0.006520906323705472,0.003731247008264992,0,-0.01651756080621629,-0.014862803634327987,-0.0173352442335572,0.0010259713888522738,1,-0.011529661090396208,-0.06466960026322452,-0.012956301050745411,0.22548625569931685,0.24958811893148977,0.03784032398691876,0,0,0,0,0
42,3.665191429188092,1.1666666666666665,-0.05604897504518564,-0.05626988355251945,-0.05625146249945483,0.0004872152333110502,1,-0.005071188614549557,-0.000985493142555819,-0.006660592991544281,0.003688620593278889,0,-0.057475323428971915,-0.05770034866753572,-0.05272592900783947,0.0010855875431691475,1,-0.05240413481442236,-0.18344468462899918,-0.08994707721946615,0.2368127057635164,0.2591582988845636,0.03977277431863946,0,0,0,0,0
43,3.752457891787808,1.1944444444444444,-0.05680441293504999,-0.05670765491494783,-0.056737438904741706,0.000518394475738114,1,-0.005191166310825933,-0.0008482797267538747,-0.006828618833010675,0.003585655532939691,0,-0.10047978332506168,-0.10112647078690999,-0.09075959309126447,0.0027121395387430802,1,-0.09528861701423574,-0.3052667438543002,-0.2474570806119799,0.23751170420388842,0.2587615357669333,0.040305890585674554,0,0,0,0,0
44,3.839724354387525,1.2222222222222223,-0.05786757564956459,-0.057588821331232894,-0.058008913118892544,0.00037872782943064454,1,-0.005363448769137135,-0.0008083997721263366,-0.007027121441598583,0.0035425703269090624,0,-0.1396513626418301,-0.1383426167046786,-0.12601606789506287,0.0038007014801353795,1,-0.13428791387269295,-0.4197813271204046,-0.48294288711225924,0.24666790872801742,0.2663903844917942,0.04260973023403232,0,0,0,0,0
45,3.9269908169872414,1.25,-0.058793982684234344,-0.05913441732736816,-0.05904397376354254,0.0004124580777140341,1,-0.005610198168978624,-0.0009462434488446577,-0.0072595711836310394,0.0034355844011221834,0,-0.16932208090858883,-0.1679238945311071,-0.15140205810442728,0.005512581867711475,1,-0.1637118827396102,-0.5094097198722307,-0.5304604178769017,0.26062566116884756,0.2793612941299858,0.04789833238768566,0,0,0,0,0
46,4.014257279586958,1.2777777777777777,-0.05969544072708074,-0.05981403184075563,-0.059886976344899236,0.00028781224997070226,1,-0.005961162719387169,-0.0013731466789619047,-0.00753189824130892,0.0036719735847057415,0,-0.18485669838630056,-0.18217674843985582,-0.16248681100182166,0.0036077307173711104,1,-0.17889553566691338,-0.5700026453656302,-0.44841331506993753,0.2791603330661766,0.29774723372778306,0.05217209028763965,0,0,0,0,0
47,4.101523742186674,1.3055555555555556,-0.06044640153458285,-0.06037722026062481,-0.0604960328549808,0.00014856718544421083,1,-0.0064552246590300144,-0.0022368308624960906,-0.007854496480262076,0.0037883062627932507,0,-0.17950590033800112,-0.1783546237302911,-0.15830293426093667,0.005977574206349617,1,-0.17305067567897112,-0.5811567349752927,-0.6639331807415123,0.3007839649060719,0.3193975600778719,0.05860425012900888,0,0,0,0,0
48,4.1887902047863905,1.3333333333333333,-0.06077079706357547,-0.060712319185426356,-0.06075532806986587,4.4885477930356465e-05,1,-0.007140162420516642,-0.0037073732291166986,-0.008245544534519592,0.003675878004105241,0,-0.15018627188680433,-0.14883550230366005,-0.1316604801748576,0.003444956827525242,1,-0.14304610946628768,-0.527490719220448,-0.4085599630733975,0.3247950407470851,0.34316125576167966,0.06757436633250184,0,0,0,0,0
49,4.276056667386107,1.361111111111111,-0.06080791051836307,-0.060806390343463086,-0.06077304319691426,3.0488071250424353e-05,1,-0.008066679766814838,-0.0059519539451874815,-0.008735938002441867,0.0039028922644498178,1,-0.10184979564730279,-0.10194707160057663,-0.08950516545778922,0.002393683779207706,1,-0.09378311588048795,-0.3696429883566902,-0.28777105564414307,0.34696344653614725,0.3659443909922057,0.07330586165888268,0,0,0,0,0
50,4.363323129985823,1.3888888888888888,-0.06062439660119562,-0.06064198259431715,-0.06060340978031997,2.078714426023004e-05,1,-0.009272699229301913,-0.009050580590172531,-0.009375168937423642,0.003808616370281251,1,-0.0475569986011516,-0.044742442985845905,-0.040976433423152596,0.0013199946009714997,1,-0.038284299371849684,-0.18865056010553696,-0.12981319287076915,0.3651995582419504,0.3828319901501724,0.0842145066258054,1,0,0,0,0
51,4.4505895925855405,1.4166666666666667,-0.060268551055396434,-0.06027400202447287,-0.0602490986862504,1.3101574189690324e-05,1,-0.010754378687213469,-0.012833816064730379,-0.010234462235138124,0.0038568591780581713,1,-0.0049053215678992535,-0.00550730734548079,-0.004748516240546087,0.0012211353482254987,1,0.005849057119314215,0.042476333511827336,-0.006219463818453841,0.3612918855998146,0.3761754183360027,0.08772125647520047,1,0,0,0,0
52,4.537856055185257,1.4444444444444444,-0.05978887172875738,-0.059794231486181834,-0.05976508183629581,5.827004286224069e-06,1,-0.012421587127406587,-0.016659500715753076,-0.011396568526418354,0.0035384614343519066,1,0.010214946022385539,0.0123485990844778,0.00965781057812625,0.0020095585576717333,1,0.022636533149792123,0.0380712411413126,-0.05565342178685678,0.4234255527220453,0.45158529411318343,0.11107157234523785,1,1,0,0,0
53,4.625122517784973,1.4722222222222223,-0.059206225346289595,-0.05921077409256314,-0.05918849784275868,8.388333548096927e-06,1,-0.01405731302903103,-0.019186882442206406,-0.012911764433836726,0.003628411447532112,1,0.005315049089140547,0.009261662339612238,0.008460616148487613,0.0037216282418087348,0,0.019372362118171577,-0.10304601758640436,-0.023749292127287658,0.6682917467904493,0.7030930119243258,0.18397572724483086,1,0,0,0,0
54,4.71238898038469,1.5,-0.05853787724443448,-0.05853344796791614,-0.05852412901204337,4.851241148524921e-06,1,-0.015372458835805815,-0.018724238873111546,-0.01470538821812631,0.003883011439870042,1,0.004493453759315547,0.008745934354938029,0.005169437044399047,0.004241122592843638,0,0.01986591259512136,-0.15316185548472164,0.010760377376329955,0.7318362576000256,0.7558976591604012,0.21125036551325163,1,0,0,0,0
55,4.799655442984406,1.5277777777777777,-0.057804965212560955,-0.05780044150330982,-0.05779340852689141,2.9436627839579677e-06,1,-0.01632721551456972,-0.01493135540114262,-0.016514333887082042,0.0036474132396243537,1,0.002376840003279221,0.005252551134587353,0.0008915063592630871,0.004049600524234852,0,0.01870405551784894,-0.16703607414333171,-0.04177884427723996,0.7466294672483944,0.7641258259023951,0.22179760690629347,1,0,0,0,0
