t,phi_index,phi,phi_over_pi,sequence,x_mean,deltaP,w_loc3_inst,w_loc5_inst,P0
836,12,1.0471975511965976,0.3333333333333333,ABB,100.05337775334799,0.4283689979125044,0.545172774114381,0.5595002044027897,0.29251724623082104
837,12,1.0471975511965976,0.3333333333333333,ABB,100.29660503236879,0.4430490932458301,0.5575147012575827,0.5612873939595843,0.0
838,12,1.0471975511965976,0.3333333333333333,ABB,100.58802256385482,0.41763378289198966,0.5517054244626322,0.5601886927726749,0.34622662358002604
839,12,1.0471975511965976,0.3333333333333333,ABB,100.23245906218291,0.2738844533349238,0.5572167158078551,0.5609113512408105,0.0
840,12,1.0471975511965976,0.3333333333333333,ABB,100.72467216550959,0.4382378923828051,0.5529444093771744,0.5604240417896249,0.4245463987384356
841,12,1.0471975511965976,0.3333333333333333,ABB,100.72837539494402,0.2079696145239704,0.5586888870674099,0.5611360907434506,0.0
842,12,1.0471975511965976,0.3333333333333333,ABB,100.7118681609463,0.39983362267716593,0.5483657521479106,0.5596960542057563,0.30189272396488676
843,12,1.0471975511965976,0.3333333333333333,ABB,100.97662668971245,0.4078155038139956,0.5577691798160094,0.5613561342865353,0.0
844,12,1.0471975511965976,0.3333333333333333,ABB,101.31107077928402,0.41915096572808486,0.5525979847560387,0.5602025647853393,0.3394772360339357
845,12,1.0471975511965976,0.3333333333333333,ABB,100.90005736806631,0.22758279317701113,0.5576912129595356,0.5610125866078268,0.0
846,12,1.0471975511965976,0.3333333333333333,ABB,101.45434693030415,0.44281058900021303,0.553862260467457,0.5604613637482534,0.4252193209638681
847,12,1.0471975511965976,0.3333333333333333,ABB,101.51524198109286,0.26216794605729593,0.5589595847371924,0.5611073328682428,0.0
848,12,1.0471975511965976,0.3333333333333333,ABB,101.45561793315079,0.41016710471886775,0.5488203278274082,0.5597971199183671,0.30863679850480197
849,12,1.0471975511965976,0.3333333333333333,ABB,101.76340096955302,0.46762279954196584,0.5579281730544857,0.5613225155594322,0.0
850,12,1.0471975511965976,0.3333333333333333,ABB,102.09570249268052,0.4494202550381474,0.5513489879454119,0.560262790542667,0.33338113166722505
