label,sequence,phi,phi_over_pi,policy,metric_name,n_points,T_min,T_max,limit_estimate_deg1,rmse_deg1,limit_estimate_deg2,rmse_deg2
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,fixed,P0bar,7,6000,24000,0.18714382281797387,2.6664926910362963e-06,0.1871545816587404,1.8370629996635757e-06
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,scaled,v_fit,7,6000,24000,0.10815446554545473,4.018553451428217e-08,0.10815431409648256,2.957529521677312e-08
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,scaled,deltaP_late_mean,7,6000,24000,0.36205048879992485,2.420483580149176e-05,0.3619892818075282,2.1563387073741098e-05
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,scaled,w_loc3,7,6000,24000,0.5794859078898765,7.198317770202734e-07,0.5794858633444643,7.19787297259512e-07
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,scaled,w_loc5,7,6000,24000,0.5857163735690604,9.174875395663407e-08,0.585716234926455,8.83036797795424e-08
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,scaled,P0bar,7,6000,24000,0.18713076535866904,2.887329147773804e-05,0.1872016558756159,2.5913186882282436e-05
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,fixed,v_fit,7,6000,24000,-0.05983840121812591,5.396610457567425e-10,-0.05983840421638778,3.3719686500273084e-11
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,fixed,deltaP_late_mean,7,6000,24000,-0.07436686027373315,4.1857697418400456e-10,-0.0743668580534326,1.269734038253454e-10
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,fixed,w_loc3,7,6000,24000,0.6272429566731801,3.12522276614545e-09,0.6272429392779382,4.666874988132713e-11
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,fixed,w_loc5,7,6000,24000,0.6436211139071223,4.0997141889551215e-10,0.6436211116323993,3.313320961487025e-11
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,fixed,P0bar,7,6000,24000,0.20997617258874557,6.896504202563261e-08,0.20997655648902797,4.3136924225244766e-10
