label,phi,phi_over_pi,L,rank_by_w_loc5,mode_index,w_loc3,w_loc5,P0,ipr,overlap_weight,tail_fit_ok,tail_kappa,tail_rmse_log
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,2,1,0.990271596970646,0.9987865133978123,0.3659735690128726,0.27341222087226247,0.29253045804306477,1,1.1633567645700356,0.09207492230120325
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,3,2,0.981717028321298,0.994575670985446,0.2185759145053368,0.18545681061410083,0.0007863817003965807,1,0.9285787801461999,0.1143793113080649
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,4,3,0.9817170283212977,0.9945756709854457,0.21857591450533587,0.18545681061410074,0.0007863817003965799,1,0.9285787802289367,0.11437931114247975
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,5,429,0.022260332945224916,0.044556990598312,0.00046717630038736166,0.004364588593356594,0.00032312764278866603,1,0.0,0.6747621169447504
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,6,439,0.02289297895551802,0.044059053072538636,0.0003711631227267677,0.004245782719768961,0.0002990022948583815,1,0.0,0.6279970869165233
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,7,9,0.031832088018859006,0.044032384476246904,0.005538555670044105,0.0031477368813730274,0.00349161708325378,1,3.0771607973390427e-06,0.0025227676780854285
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,8,396,0.02024182676851208,0.04403215475576521,0.0003695070610524381,0.004404701423835318,0.0002780185241950987,1,0.0037080210716586913,0.7785324545873439
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,9,49,0.03183286620022138,0.04401482796762093,0.005449140349790783,0.0031475135018751137,0.0034878855032938988,1,1.833873250381912e-05,0.0009760750897302284
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,10,58,0.03175203656949947,0.04396936192496271,0.005599319919151232,0.0031477213756087087,0.0034846229702069466,1,0.0,0.009904396199502232
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,11,75,0.03199219921461709,0.04396708014542526,0.004252851893727578,0.003166039358710262,0.002472489722031847,1,0.0004361643297013503,0.08331288641234234
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,12,79,0.03197696409667773,0.04395090739248357,0.0041144584384894215,0.0031684598645681616,0.002427382875371632,1,0.0001446873101663318,0.08545091184164633
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,13,38,0.03195790592494164,0.04394217809338672,0.004375089162787677,0.003163627264283089,0.002510241372508819,1,0.0005767816249777662,0.07838436598902866
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,14,7,0.03175374599169427,0.04391637341495506,0.005332577338253884,0.0031470680695064607,0.0034730301481957814,1,1.3545852179674496e-05,0.004636497381987449
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,15,78,0.03190944320126857,0.04389132932975682,0.003960720820508243,0.00317096951734115,0.002375350344279607,1,0.0,0.09163451982308483
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,16,69,0.03187749151876101,0.043878792350089846,0.0044807355077939905,0.0031611694332473904,0.0025404239597042475,1,0.00048512608742022807,0.0705222641265323
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,1,1,0.9902715969706462,0.9987865133978124,0.36597356901287365,0.27341222087226275,0.29253045804306516,1,1.1633567179239714,0.09207497625893787
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,2,0,0.9902715969706462,0.9987865133978124,0.3659735690128734,0.27341222087226286,0.29253045804306504,1,1.163356749395576,0.09207494056883861
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,3,3,0.981717028321298,0.9945756709854459,0.2185759145053373,0.1854568106141007,0.0007863817003965646,1,0.9285787804218707,0.11437931091382472
