label,phi,phi_over_pi,L,k_localized_modes,subspace_weight,absolute_contribution_w_loc3,absolute_contribution_w_loc5,absolute_contribution_P0,conditional_w_loc3,conditional_w_loc5,conditional_P0,weighted_tail_kappa,full_diag_w_loc3,full_diag_w_loc5,full_diag_P0
pp_primary_mid_T6000,1.7535935734890633,0.5581861707899305,300,16,0.140104752735225,0.08644920735040926,0.09385317489436751,0.016027640262408865,0.617032653515931,0.6698785948520577,0.11439754861634478,0.5715728401880483,0.09367606629479723,0.10883141462053038,0.019594622193539732
pp_primary_left_T6000,1.733178845836952,0.5516879611545139,120,2,0.06144748417920527,0.060948838298340496,0.06131212890355142,0.014172494478385228,0.9918850073762088,0.9977972202204552,0.230644015254597,1.1369056975971241,0.12398099994324308,0.15291370736946094,0.026809568299093103
pp_primary_left_T6000,1.733178845836952,0.5516879611545139,120,4,0.09393484105462845,0.07314045353362876,0.07769166039126421,0.014747681117081421,0.778629661928032,0.8270803412131404,0.15699905329594166,0.7844951837021007,0.12398099994324308,0.15291370736946094,0.026809568299093103
pp_primary_left_T6000,1.733178845836952,0.5516879611545139,120,8,0.19237478554890958,0.10294953231770126,0.11882250273287696,0.023320256953896095,0.5351508620215057,0.6176615214610202,0.12122304327646477,0.42355450510416576,0.12398099994324308,0.15291370736946094,0.026809568299093103
pp_primary_left_T6000,1.733178845836952,0.5516879611545139,120,16,0.22822220751383338,0.10480139107548544,0.1211919203237379,0.02361254203816241,0.4592076827980601,0.5310259752718939,0.10346294646515138,0.3575385315521901,0.12398099994324308,0.15291370736946094,0.026809568299093103
pp_primary_left_T6000,1.733178845836952,0.5516879611545139,160,2,0.0614474841792053,0.06094883829834054,0.06131212890355145,0.014172494478385214,0.9918850073762091,0.9977972202204552,0.23064401525459666,1.134025940271365,0.11846885884234513,0.1442246701267652,0.02601732011074412
pp_primary_left_T6000,1.733178845836952,0.5516879611545139,160,4,0.09393484104863399,0.07314045352810089,0.07769166038383853,0.01474768111682832,0.7786296619188723,0.8270803411868692,0.15699905330326613,0.7826840981561861,0.11846885884234513,0.1442246701267652,0.02601732011074412
pp_primary_left_T6000,1.733178845836952,0.5516879611545139,160,8,0.18890297064028083,0.10262382210010061,0.11841705171680064,0.023265936582144254,0.5432620871564926,0.6268670699853458,0.12316342354641155,0.4305428404835917,0.11846885884234513,0.1442246701267652,0.02601732011074412
pp_primary_left_T6000,1.733178845836952,0.5516879611545139,160,16,0.2165522196438467,0.10374751210589452,0.11984675357476555,0.0234465286865354,0.47908773355693696,0.5534311944337117,0.10827193886581633,0.37566449616471775,0.11846885884234513,0.1442246701267652,0.02601732011074412
pp_primary_left_T6000,1.733178845836952,0.5516879611545139,220,2,0.06144748417920545,0.060948838298340684,0.0613121289035516,0.014172494478385277,0.991885007376209,0.9977972202204552,0.2306440152545971,1.1340259199725469,0.11383348103403124,0.1369985084959403,0.02535221090880652
