policy,phi_index,phi,phi_over_pi,strict_raw_all_T,drift_raw_all_T,T_last,v_fit_A_T_last,v_fit_B_T_last,v_fit_ABB_T_last,adv_v_T_last
scaled,7,0.6108652381980153,0.19444444444444445,1,1,1500,-0.04921150314834568,-0.11246727290086915,0.0663726943287549,0.11558419747710058
scaled,8,0.6981317007977318,0.2222222222222222,1,1,1500,-0.0500155255142093,-0.09722974487381646,0.07897087459126621,0.12898640010547552
scaled,9,0.7853981633974483,0.25,1,1,1500,-0.050864842613961445,-0.08011558330972515,0.09084455257992503,0.14170939519388648
scaled,10,0.8726646259971648,0.2777777777777778,1,1,1500,-0.051744452153420335,-0.06200841144448378,0.10174691914471459,0.15349137129813492
scaled,11,0.9599310885968813,0.3055555555555556,1,1,1500,-0.05264137739862448,-0.04773625902647193,0.11154446018023088,0.1592807192067028
scaled,12,1.0471975511965976,0.3333333333333333,1,1,1500,-0.0535441144173145,-0.03759745388876026,0.12011083772269526,0.15770829161145553
scaled,13,1.1344640137963142,0.3611111111111111,1,1,1500,-0.05444243406039638,-0.03038425736620183,0.12719351843648463,0.15757777580268645
scaled,14,1.2217304763960306,0.3888888888888889,1,1,1500,-0.05532681627120982,-0.02520395664056511,0.1325222407030111,0.1577261973435762
scaled,15,1.3089969389957472,0.4166666666666667,1,1,1500,-0.05618805955305878,-0.021291216766887753,0.13547037759224947,0.15676159435913722
scaled,16,1.3962634015954636,0.4444444444444444,1,1,1500,-0.05701685214207132,-0.018336628876263108,0.1352243989508221,0.15356102782708522
scaled,17,1.48352986419518,0.4722222222222222,1,1,1500,-0.05780333484866449,-0.015975347257143998,0.13073105516880448,0.14670640242594848
scaled,18,1.5707963267948966,0.5,1,1,1500,-0.05853643479925874,-0.014197588434723485,0.12067465532125504,0.13487224375597853
scaled,19,1.658062789394613,0.5277777777777778,1,1,1500,-0.05920321872590563,-0.0126155902106749,0.10577493658194881,0.11839052679262371
scaled,20,1.7453292519943295,0.5555555555555556,1,1,1500,-0.05978800837414013,-0.0115493218872416,0.08864413387345428,0.10019345576069588
scaled,21,1.832595714594046,0.5833333333333333,1,1,1500,-0.060270768282271556,-0.010490117672067398,0.07927592369597787,0.08976604136804527
scaled,22,1.9198621771937625,0.6111111111111112,1,1,1500,-0.060625162333344806,-0.009699431677485928,0.08013509320788002,0.08983452488536595
scaled,23,2.007128639793479,0.6388888888888888,1,1,1500,-0.060813931229465455,-0.009002863405310889,0.08588644126012401,0.09488930466543491
scaled,24,2.0943951023931953,0.6666666666666666,1,1,1500,-0.06077946924695315,-0.008451347324296128,0.0881053543500236,0.09655670167431973
scaled,25,2.1816615649929116,0.6944444444444444,1,1,1500,-0.06040956970328318,-0.00801986566333965,0.084393824655107,0.09241369031844665
scaled,26,2.2689280275926285,0.7222222222222222,1,1,1500,-0.059709481522510995,-0.007603513783569635,0.07537575368241928,0.08297926746598891
scaled,27,2.356194490192345,0.75,1,1,1500,-0.058818144098634326,-0.0072070651948915486,0.06276711584244973,0.06997418103734128
scaled,28,2.443460952792061,0.7777777777777778,1,1,1500,-0.05785015033055788,-0.00687764142354406,0.048314450543251876,0.055192091966795934
scaled,29,2.5307274153917776,0.8055555555555555,1,1,1500,-0.05688820663526398,-0.006629755664889401,0.03386522823309692,0.04049498389798632
scaled,30,2.6179938779914944,0.8333333333333334,1,1,1500,-0.05599437048285051,-0.006448140857472909,0.020644179317137457,0.027092320174610367
scaled,31,2.705260340591211,0.8611111111111112,1,1,1500,-0.05520899608962489,-0.006311905625957509,0.01072930745319789,0.017041213079155397
scaled,32,2.792526803190927,0.8888888888888888,1,1,1500,-0.054541699606323976,-0.006206869914101746,0.012846174984238276,0.019053044898340022
scaled,33,2.8797932657906435,0.9166666666666666,1,1,1500,-0.05400703793786973,-0.006126472901781015,0.025730226706020334,0.03185669960780135
scaled,34,2.96705972839036,0.9444444444444444,1,1,1500,-0.05362010452593288,-0.006068807017036191,0.03614911555900348,0.042217922576039665
scaled,35,3.0543261909900767,0.9722222222222222,1,1,1500,-0.05339690761112226,-0.006033904093826176,0.043441550466457785,0.04947545456028396
scaled,36,3.141592653589793,1.0,1,1,1500,-0.05331502041845691,-0.006022202754154354,0.048186720380833326,0.05420892313498768
