policy,phi_index,phi,phi_over_pi,strict_all_T,drift_all_T,pp_primary_all_T,pp_sensitivity_all_T,T_last,v_fit_A_T_last,v_fit_B_T_last,v_fit_ABB_T_last,w_loc3_ABB_T_last,w_loc5_ABB_T_last,adv_v_T_last
scaled,3,0.2617993877991494,0.08333333333333333,1,1,0,0,1500,-0.04682224919824149,-0.15991949843222528,0.017164798926450536,0.5227060439884254,0.5396451825039216,0.06398704812469203
scaled,4,0.3490658503988659,0.1111111111111111,1,1,0,0,1500,-0.04725405694031721,-0.14982865934572673,0.02855930995826174,0.5703541382342163,0.5822254914242337,0.07581336689857895
scaled,5,0.4363323129985824,0.1388888888888889,1,1,0,0,1500,-0.047810532422852346,-0.1386158948071731,0.040540404656194635,0.5977224250025958,0.6075077340019344,0.08835093707904698
scaled,6,0.5235987755982988,0.16666666666666666,1,1,0,0,1500,-0.04847000088467075,-0.1262015555106346,0.053376531164346964,0.6107613976414821,0.6189198900448524,0.10184653204901772
scaled,7,0.6108652381980153,0.19444444444444445,1,1,0,0,1500,-0.04921150314834568,-0.11246727290086915,0.0663726943287549,0.6135721265322281,0.6205921822765462,0.11558419747710058
scaled,8,0.6981317007977318,0.2222222222222222,1,1,0,0,1500,-0.0500155255142093,-0.09722974487381646,0.07897087459126621,0.610056997967991,0.6165302413002481,0.12898640010547552
scaled,9,0.7853981633974483,0.25,1,1,0,0,1500,-0.050864842613961445,-0.08011558330972515,0.09084455257992503,0.6017546085826749,0.6079600998328965,0.14170939519388648
scaled,10,0.8726646259971648,0.2777777777777778,1,1,0,0,1500,-0.051744452153420335,-0.06200841144448378,0.10174691914471459,0.5893655353948805,0.5955154864634603,0.15349137129813492
scaled,11,0.9599310885968813,0.3055555555555556,1,1,0,0,1500,-0.05264137739862448,-0.04773625902647193,0.11154446018023088,0.5733098093688711,0.5796167113652552,0.1592807192067028
scaled,12,1.0471975511965976,0.3333333333333333,1,1,0,0,1500,-0.0535441144173145,-0.03759745388876026,0.12011083772269526,0.553971906322731,0.5605869864217521,0.15770829161145553
